id,name
IN-UA-IU3.1.1.3,Solicitud de sobrecupo en las Unidades de Aprendizaje
IN-UA-IU3.1.1.4,Confirmaci\IeC {\'o}n de inscripci\IeC {\'o}n
IN-UA-IU3.1.2,Introducci\IeC {\'o}n de la Boleta/Preboleta
IN-UA-IU3.1.2.2,Visualizaci\IeC {\'o}n de la inscripci\IeC {\'o}n en las Unidades de Aprendizaje
IN-UA-IU3.1.2.3,Adici\IeC {\'o}n de una Unidad de Aprendizaje
IN-UA-IU3.1.2.4,Solicitud de sobrecupo en una Unidad de Aprendizaje
IN-UA-IU3.1.2.5,Unidades de Aprendizaje empalmadas
IN-UA-IU3.1.2.6,Confirmaci\IeC {\'o}n de inscripci\IeC {\'o}n
IN-UA-IU4,Gestionar entrega de documentos
IN-UA-IU4.1,Registrar entrega de documentos
