idElemento,idElementoRef
UdeA,EspecialidadDeUdeA
GrupoConUdeAEnOferta.ocupacion,BR-IN-N025
GrupoConUdeAEnOferta.capacidad,BR-IN-N025
GrupoConUdeAEnOferta.ocupacion,BR-IN-N027
GrupoConUdeAEnOferta.capacidad,BR-IN-N027
tUA,UAJefeDeGestionEscolar
Proceso.fechaDeInicio,IN-DAE-PR1
Proceso,IN-DAE-PR1
Proceso.frecuenciaDeEjecucion,IN-DAE-PR1
Programa,IN-DAE-PR1
tModalidad,IN-UA-CU1
CicloEscolar,IN-UA-CU1
UAJefeDeGestionEscolar,IN-UA-CU1
tModalidad,IN-UA-CU1
CicloEscolar,IN-UA-CU1
tModalidad,IN-UA-CU1
CicloEscolar.clave,IN-UA-CU1
IN-UA-IU1,IN-UA-CU1
UAJefeDeGestionEscolar,IN-UA-CU3
PeriodoEscolar.clave,IN-UA-CU3
tProgramaAcademico,IN-UA-CU3
Corrida.fechaDeEjecucion,IN-UA-CU3
PlanDeEstudio,IN-UA-CU3
Modalidad,IN-UA-CU3
PlandeEstudioenPeriododeUnidadAcademica.estudiantesEsperados,IN-UA-CU3
PlandeEstudioenPeriododeUnidadAcademica.estudiantesCancelados,IN-UA-CU3
PlandeEstudioenPeriododeUnidadAcademica.estudiantesCargadosSinBoleta,IN-UA-CU3
PlandeEstudioenPeriododeUnidadAcademica.estudiantesInscritosSinBoleta,IN-UA-CU3
PlandeEstudioenPeriododeUnidadAcademica.estudiantesCargadosConBoleta,IN-UA-CU3
PlandeEstudioenPeriododeUnidadAcademica.estudiantesInscritosConBoleta,IN-UA-CU3
ProgramaAcademico,IN-UA-CU3
UAJefeDeGestionEscolar,IN-UA-CU3.1
PeriodoEscolar.clave,IN-UA-CU3.1
ProgramaAcademico.nombre,IN-UA-CU3.1
PlandeEstudio.nombre,IN-UA-CU3.1
tUnidadDeAprendizaje,IN-UA-CU3.1.1
Grupo,IN-UA-CU3.1.1
PeriodoEscolar,IN-UA-CU3.1.1
UAJefeDeGestionEscolar,IN-UA-CU3.1.1
PlanDeEstudio.division,IN-UA-CU3.1.1
PlanDeEstudio.planDeEstudio,IN-UA-CU3.1.1
Grupo.nombre,IN-UA-CU3.1.1
UdeA.udeA,IN-UA-CU3.1.1
AlumnoAsignado.boleta,IN-UA-CU3.1.1
AlumnoAsignado.preboleta,IN-UA-CU3.1.1
PlanDeEstudio.division,IN-UA-CU3.1.1
Grupo.nombre,IN-UA-CU3.1.1
UdeA.udeA,IN-UA-CU3.1.1
AlumnoAsignado.boleta,IN-UA-CU3.1.1
AlumnoAsignado.preboleta,IN-UA-CU3.1.1
ProgramaAcademico.nombre,IN-UA-CU3.1.1
PlanDeEstudio.nombre,IN-UA-CU3.1.1
PeriodoEscolar.clave,IN-UA-CU3.1.1
PlanDeEstudio.tipoDeCreditos,IN-UA-CU3.1.1
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.1
PlanDeEstudio.cargaMedia,IN-UA-CU3.1.1
PlanDeEstudio.cargaMaxima,IN-UA-CU3.1.1
Grupo.nombre,IN-UA-CU3.1.1
EstructuraEducativa,IN-UA-CU3.1.1
UdeAEnOferta,IN-UA-CU3.1.1
UdeA.creditosSATCA,IN-UA-CU3.1.1
UdeA.creditosTEPIC,IN-UA-CU3.1.1
GrupoConUdeAEnOferta.capacidad,IN-UA-CU3.1.1
GrupoConUdeAEnOferta.ocupacion,IN-UA-CU3.1.1
AlumnoAsignado.boleta,IN-UA-CU3.1.1
AlumnoAsignado.preboleta,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
Alumno.nombre,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
AlumnoAsignado.claveEnElProceso,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
UdeA.udeA,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
UdeA.creditosSATCA,IN-UA-CU3.1.1
UdeA.udeA,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
UdeA.creditosTEPIC,IN-UA-CU3.1.1
UdeA.udeA,IN-UA-CU3.1.1
PlanDeEstudio.division,IN-UA-CU3.1.1
tUnidadAcademica,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
tUnidadAcademica,IN-UA-CU3.1.1
tProgramaAcademico,IN-UA-CU3.1.1
tPeriodoEscolar,IN-UA-CU3.1.1
tProgramaAcademico,IN-UA-CU3.1.1
tEstructuraEducativa,IN-UA-CU3.1.1
tPeriodoEscolar,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
tUnidadDeAprendizaje,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
tUnidadAcademica,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
tUnidadDeAprendizaje,IN-UA-CU3.1.1
tUnidadAcademica,IN-UA-CU3.1.1
tProgramaAcademico,IN-UA-CU3.1.1
tPeriodoEscolar,IN-UA-CU3.1.1
tEstructuraEducativa,IN-UA-CU3.1.1
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.1
PlanDeEstudio.cargaMedia,IN-UA-CU3.1.1
PlanDeEstudio.cargaMaxima,IN-UA-CU3.1.1
PlanDeEstudio.division,IN-UA-CU3.1.1
tPlanEstudio,IN-UA-CU3.1.1
tGrupo,IN-UA-CU3.1.1
tUnidadDeAprendizaje,IN-UA-CU3.1.1
tUnidadDeAprendizaje,IN-UA-CU3.1.1
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
tUnidadDeAprendizaje,IN-UA-CU3.1.1
tGrupo,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
tGrupo,IN-UA-CU3.1.1
tGrupo,IN-UA-CU3.1.1
tEstudiante,IN-UA-CU3.1.1
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.1
tCredito,IN-UA-CU3.1.1
tUnidadDeAprendizaje,IN-UA-CU3.1.1
tGrupo,IN-UA-CU3.1.1
UdeA.udeA,IN-UA-CU3.1.2
Grupo,IN-UA-CU3.1.2
PeriodoEscolar,IN-UA-CU3.1.2
UAJefeDeGestionEscolar,IN-UA-CU3.1.2
AlumnoAsignado.boleta,IN-UA-CU3.1.2
AlumnoAsignado.preboleta,IN-UA-CU3.1.2
PlanDeEstudio.division,IN-UA-CU3.1.2
PlanDeEstudio.planDeEstudio,IN-UA-CU3.1.2
Grupo.nombre,IN-UA-CU3.1.2
UdeA.udeA,IN-UA-CU3.1.2
PlanDeEstudio.division,IN-UA-CU3.1.2
Grupo.nombre,IN-UA-CU3.1.2
UdeA.udeA,IN-UA-CU3.1.2
AlumnoAsignado.boleta,IN-UA-CU3.1.2
AlumnoAsignado.preboleta,IN-UA-CU3.1.2
ProgramaAcademico.nombre,IN-UA-CU3.1.2
PlanDeEstudio.nombre,IN-UA-CU3.1.2
PeriodoEscolar.clave,IN-UA-CU3.1.2
PlanDeEstudio.tipoDeCreditos,IN-UA-CU3.1.2
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.2
PlanDeEstudio.cargaMedia,IN-UA-CU3.1.2
PlanDeEstudio.cargaMaxima,IN-UA-CU3.1.2
Grupo.nombre,IN-UA-CU3.1.2
EstructuraEducativa,IN-UA-CU3.1.2
UdeAEnOferta,IN-UA-CU3.1.2
UdeA.creditosSATCA,IN-UA-CU3.1.2
UdeA.creditosTEPIC,IN-UA-CU3.1.2
GrupoConUdeAEnOferta.capacidad,IN-UA-CU3.1.2
GrupoConUdeAEnOferta.ocupacion,IN-UA-CU3.1.2
AlumnoAsignado.boleta,IN-UA-CU3.1.2
AlumnoAsignado.preboleta,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
Alumno.nombre,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
AlumnoAsignado.claveEnElProceso,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
UdeA.udeA,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
UdeA.creditosSATCA,IN-UA-CU3.1.2
UdeA.udeA,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
UdeA.creditosTEPIC,IN-UA-CU3.1.2
UdeA.udeA,IN-UA-CU3.1.2
PlanDeEstudio.division,IN-UA-CU3.1.2
tProgramaAcademico,IN-UA-CU3.1.2
tEstructuraEducativa,IN-UA-CU3.1.2
tPlanEstudio,IN-UA-CU3.1.2
tPeriodoEscolar,IN-UA-CU3.1.2
tUnidadAcademica,IN-UA-CU3.1.2
UdeAEnOferta,IN-UA-CU3.1.2
Grupo,IN-UA-CU3.1.2
tUnidadAcademica,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
tProgramaAcademico,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
tUnidadDeAprendizaje,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
tUnidadAcademica,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
tUnidadDeAprendizaje,IN-UA-CU3.1.2
tUnidadAcademica,IN-UA-CU3.1.2
tProgramaAcademico,IN-UA-CU3.1.2
tPeriodoEscolar,IN-UA-CU3.1.2
tProgramaAcademico,IN-UA-CU3.1.2
tEstructuraEducativa,IN-UA-CU3.1.2
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.2
PlanDeEstudio.cargaMedia,IN-UA-CU3.1.2
PlanDeEstudio.cargaMaxima,IN-UA-CU3.1.2
PlanDeEstudio.division,IN-UA-CU3.1.2
tPlanEstudio,IN-UA-CU3.1.2
tGrupo,IN-UA-CU3.1.2
tUnidadDeAprendizaje,IN-UA-CU3.1.2
tUnidadDeAprendizaje,IN-UA-CU3.1.2
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
tGrupo,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
tUnidadDeAprendizaje,IN-UA-CU3.1.2
tGrupo,IN-UA-CU3.1.2
tEstudiante,IN-UA-CU3.1.2
PlanDeEstudio.cargaMinima,IN-UA-CU3.1.2
tCredito,IN-UA-CU3.1.2
UAJefeDeControlEscolar,IN-UA-CU4
ProgramaAcademico.nombre,IN-UA-CU4
Alumno.boleta,IN-UA-CU4
Alumno.nombre,IN-UA-CU4
Alumno.primerApellido,IN-UA-CU4
Alumno.segundoApellido,IN-UA-CU4
Alumno.tipo,IN-UA-CU4
AlumnoAsignado.estadoDeDocumentacion,IN-UA-CU4
UAJefeDeControlEscolar,IN-UA-CU4.1
EstadoDeDevolucion,IN-UA-CU4.1
DocumentoDeAsignacion,IN-UA-CU4.1
Alumno.nombre,IN-UA-CU4.1
Alumno.primerApellido,IN-UA-CU4.1
Alumno.segundoApellido,IN-UA-CU4.1
Alumno.fechaDeNacimiento,IN-UA-CU4.1
Alumno.lugarDeNacmiento,IN-UA-CU4.1
Alumno.fotografia,IN-UA-CU4.1
Domicilio,IN-UA-CU4.1
AlumnoAsignado,IN-UA-CU4.1
UnidadDeAprendizaje,IN-UA-CU4.1
TipoDeDocumento,IN-UA-CU4.1
GrupoConUdeAEnOferta.capacidad,MSG188
